cluster,mean_gpm,mean_dpm_champ,mean_vision_score,mean_kill_participation,z_gpm_centroid,z_dpm_champ_centroid,z_vision_score_centroid,z_kill_participation_centroid,n,share_pct,persona
0,380.761363310773,748.627388048225,43.14581651869788,0.4770850389218863,-0.1293301279252693,0.060928831703725025,1.3380982271547412,0.05663480726422867,11151,19.97,시야 관리형
1,391.55678307844204,686.225036865611,22.03516078017923,0.5286288332222804,0.036157165107788096,-0.15134064994042415,-0.45539647974704855,0.4056075013347967,18970,33.97,교전 집중형
2,337.98580213650246,496.2582987534587,19.934733633713225,0.31679099712476755,-0.8669490112329938,-0.8431579553974178,-0.4993382725790558,-1.046405919099071,15092,27.03,부진 위축형
3,476.93062795362727,1146.5999174988524,27.26724381292933,0.5676103626220808,1.3059181721062902,1.4077225958456778,0.11977038104916359,0.7045071047255804,10627,19.03,주도 캐리형
