patch,champion_name,champion_name_kr,role,pick_count,pick_rate_pct,win_rate_pct,avg_kda,avg_gpm,avg_vision,sample_flag
15.3,Galio,갈리오,SUPPORT,25,0.054,52.0,3.784,296.7,59.16,LOW_N
15.3,Gragas,그라가스,MID,25,0.054,44.0,2.544,391.3,18.12,LOW_N
15.3,Kennen,케넨,MID,24,0.052,62.5,3.422,416.5,18.88,LOW_N
15.3,Teemo,티모,SUPPORT,23,0.05,60.87,2.999,306.1,70.7,LOW_N
15.3,Akshan,아크샨,TOP,22,0.047,72.73,4.039,471.3,15.5,LOW_N
15.3,Ezreal,이즈리얼,MID,22,0.047,50.0,2.525,396.3,14.45,LOW_N
15.3,Seraphine,세라핀,BOT,22,0.047,50.0,2.905,359.2,18.32,LOW_N
15.3,Zoe,조이,SUPPORT,22,0.047,40.91,2.832,317.1,74.5,LOW_N
15.3,Hwei,흐웨이,SUPPORT,21,0.045,47.62,2.153,301.7,59.76,LOW_N
15.3,Swain,스웨인,TOP,21,0.045,47.62,4.682,391.5,17.0,LOW_N
15.3,Mordekaiser,모데카이저,JUNGLE,20,0.043,45.0,3.34,421.3,23.25,LOW_N
15.3,Taliyah,탈리야,JUNGLE,20,0.043,40.0,3.429,431.4,25.3,LOW_N
15.3,Twitch,트위치,SUPPORT,20,0.043,40.0,2.202,358.6,53.85,LOW_N
15.3,Varus,바루스,TOP,20,0.043,35.0,2.606,433.0,15.7,LOW_N
15.3,Lissandra,리산드라,TOP,19,0.041,36.84,2.088,368.1,19.0,LOW_N
15.3,Morgana,모르가나,JUNGLE,19,0.041,47.37,4.078,378.6,27.79,LOW_N
15.3,Neeko,니코,MID,19,0.041,47.37,2.164,370.5,18.74,LOW_N
15.3,Olaf,올라프,JUNGLE,19,0.041,57.89,3.508,429.1,19.47,LOW_N
15.3,Zilean,질리언,TOP,19,0.041,42.11,4.322,329.9,17.32,LOW_N
15.3,FiddleSticks,FiddleSticks,SUPPORT,18,0.039,38.89,1.777,294.2,82.5,LOW_N
15.3,Udyr,우디르,TOP,18,0.039,38.89,2.097,371.7,17.56,LOW_N
15.3,Ambessa,암베사,MID,17,0.037,29.41,2.981,392.0,15.12,LOW_N
15.3,Qiyana,키아나,JUNGLE,17,0.037,41.18,4.39,436.6,18.82,LOW_N
15.3,Gangplank,갱플랭크,MID,16,0.034,56.25,3.074,446.7,15.5,LOW_N
15.3,Leblanc,르블랑,SUPPORT,15,0.032,40.0,3.537,340.3,67.73,LOW_N
15.3,Nasus,나서스,MID,15,0.032,53.33,3.335,379.6,10.2,LOW_N
15.3,Quinn,퀸,SUPPORT,15,0.032,40.0,2.384,359.7,63.2,LOW_N
