k,inertia,silhouette
2,152976.01106293264,0.27091554858768896
3,128201.2267682433,0.23225371296041614
4,108692.92348550737,0.2118660531679723
5,97783.62627071602,0.20601138311099806
6,89927.31343163677,0.19248055427302785
7,83993.18823383005,0.19112656568880437
8,79297.1667432255,0.18296587935421818
